Hyperparameters:
learningRate = 0.0001
maxMemory = 100000
gamma = 0.95
batchSize = 30
epsilon = 1.0
epsilonDecayRate = 0.998
epsilonMin = 0.05
ddqn_enable = True

2024-11-05 16:19:08.220915: epoch: 1 | totalReward = -5.000000000000002 | epsilon = 0.998
2024-11-05 16:19:19.699907: epoch: 2 | totalReward = -5.000000000000002 | epsilon = 0.996004
2024-11-05 16:19:25.891718: epoch: 3 | totalReward = -4.8000000000000025 | epsilon = 0.994011992
2024-11-05 16:19:36.228350: epoch: 4 | totalReward = -5.000000000000002 | epsilon = 0.992023968016
2024-11-05 16:19:52.299209: epoch: 5 | totalReward = 10.900000000000041 | epsilon = 0.990039920079968
2024-11-05 16:19:58.293545: epoch: 6 | totalReward = -5.000000000000002 | epsilon = 0.9880598402398081
2024-11-05 16:20:08.828022: epoch: 7 | totalReward = -4.5000000000000036 | epsilon = 0.9860837205593285
2024-11-05 16:20:19.339719: epoch: 8 | totalReward = -5.000000000000002 | epsilon = 0.9841115531182099
2024-11-05 16:20:25.411140: epoch: 9 | totalReward = -5.000000000000002 | epsilon = 0.9821433300119734
2024-11-05 16:20:30.566063: epoch: 10 | totalReward = -7.699999999999999 | epsilon = 0.9801790433519495
2024-11-05 16:20:41.366019: epoch: 11 | totalReward = 8.400000000000006 | epsilon = 0.9782186852652456
2024-11-05 16:20:51.538977: epoch: 12 | totalReward = -61.099999999999994 | epsilon = 0.976262247894715
2024-11-05 16:20:57.585351: epoch: 13 | totalReward = -5.000000000000002 | epsilon = 0.9743097233989256
2024-11-05 16:21:07.701872: epoch: 14 | totalReward = -5.000000000000002 | epsilon = 0.9723611039521278
2024-11-05 16:21:18.027852: epoch: 15 | totalReward = -5.000000000000002 | epsilon = 0.9704163817442236
2024-11-05 16:21:29.856754: epoch: 16 | totalReward = 10.900000000000041 | epsilon = 0.9684755489807352
2024-11-05 16:21:41.377953: epoch: 17 | totalReward = -5.000000000000002 | epsilon = 0.9665385978827737
2024-11-05 16:21:52.706393: epoch: 18 | totalReward = -61.099999999999994 | epsilon = 0.9646055206870082
2024-11-05 16:21:59.142186: epoch: 19 | totalReward = -5.000000000000002 | epsilon = 0.9626763096456342
2024-11-05 16:22:10.277618: epoch: 20 | totalReward = -5.000000000000002 | epsilon = 0.9607509570263429
2024-11-05 16:22:16.789951: epoch: 21 | totalReward = -4.8000000000000025 | epsilon = 0.9588294551122902
2024-11-05 16:22:28.035627: epoch: 22 | totalReward = -5.000000000000002 | epsilon = 0.9569117962020657
2024-11-05 16:22:39.130206: epoch: 23 | totalReward = -4.600000000000003 | epsilon = 0.9549979726096616
